data,ipca_mensal,selic_mensal
1986-08-01,3.55,2.57
1986-09-01,1.72,2.94
1986-10-01,1.9,1.96
1986-11-01,5.45,2.37
1986-12-01,11.65,5.47
1987-01-01,13.21,11.0
1987-02-01,12.64,19.61
1987-03-01,16.37,11.95
1987-04-01,19.1,15.3
1987-05-01,21.45,24.63
1987-06-01,19.71,18.02
1987-07-01,9.21,8.91
1987-08-01,4.87,8.09
1987-09-01,7.78,7.99
1987-10-01,11.22,9.45
1987-11-01,15.08,12.92
1987-12-01,14.15,14.38
1988-01-01,18.89,16.78
1988-02-01,15.7,18.35
1988-03-01,17.6,16.59
1988-04-01,19.29,20.25
1988-05-01,17.42,18.65
1988-06-01,22.0,20.17
1988-07-01,21.91,24.69
1988-08-01,21.59,22.63
1988-09-01,27.45,26.25
1988-10-01,25.62,29.79
1988-11-01,27.94,28.41
1988-12-01,28.7,30.24
1989-01-01,37.49,22.97
1989-02-01,16.78,18.95
1989-03-01,6.82,20.41
1989-04-01,8.33,11.52
1989-05-01,17.92,11.43
1989-06-01,28.65,27.29
1989-07-01,27.74,33.15
1989-08-01,33.71,35.49
1989-09-01,37.56,38.58
1989-10-01,39.77,47.7
1989-11-01,47.82,48.41
1989-12-01,51.5,64.21
1990-01-01,67.55,67.6
1990-02-01,75.73,82.04
1990-03-01,82.39,36.76
1990-04-01,15.52,4.23
1990-05-01,7.59,5.69
1990-06-01,11.75,8.73
1990-07-01,12.92,13.79
1990-08-01,12.88,11.53
1990-09-01,14.41,15.21
1990-10-01,14.36,16.49
1990-11-01,16.81,19.83
1990-12-01,18.44,22.86
1991-01-01,20.75,21.02
1991-02-01,20.72,6.85
1991-03-01,11.92,8.99
1991-04-01,4.99,9.67
1991-05-01,7.43,9.56
1991-06-01,11.19,10.32
1991-07-01,12.41,12.39
1991-08-01,15.63,15.75
1991-09-01,15.63,19.78
1991-10-01,20.23,25.95
1991-11-01,25.21,32.43
1991-12-01,23.71,31.17
1992-01-01,25.94,29.06
